theta_deg,fy,fz,f_mag,f_perp,F_spring_M_over_L
5,-8.253586,-0.2855939,8.25852563930834,0.4348402891743288,0.11167314685960522
10,-8.667379,-0.6201788,8.68953856505686,0.8943176780048135,0.22334629371921044
15,-8.732021,-0.9446733,8.782972070328693,1.3475289991594375,0.3350194405788156
20,-8.736187,-1.26656,8.827521596267493,1.7977748440772434,0.4466925874384209
25,-8.716166,-1.587209,8.85950236464989,2.245111047608731,0.5583657342980259
30,-8.681314,-1.907028,8.888305156742764,2.689122306271769,0.6700388811576312
35,-8.635099,-2.226197,8.917448504062696,3.1292954884184603,0.7817120280172364
40,-8.579081,-2.544818,8.948560189085448,3.5650832816480538,0.8933851748768418
45,-8.51404,-2.86296,8.982506169393929,3.995916989027674,1.0050583217364468
50,-8.440378,-3.18067,9.019791706673942,4.421209398221989,1.1167314685960519
55,-8.358301,-3.497977,9.060741619709173,4.840362168834802,1.2284046154556572
60,-8.267899,-3.8149,9.105581578581404,5.2527605699239555,1.3400777623152624
65,-8.169194,-4.131451,9.154486221248956,5.657777495926203,1.451750909174868
70,-8.06216,-4.447632,9.20759763852787,6.054772525495488,1.5634240560344728
75,-7.946741,-4.763439,9.265044178405303,6.443093633346111,1.6750972028940783
80,-7.822857,-5.078866,9.3269486697636,6.82207439879129,1.7867703497536835
85,-7.690405,-5.393899,9.393427249211333,7.1910314135274005,1.8984434966132886
90,-7.549272,-5.708521,9.464603517180475,7.549272,2.0101166434728936
95,-7.399326,-6.02271,9.540600662347,7.896083094056152,2.121789790332499
100,-7.240423,-6.33644,9.6215485807914,8.230735964383754,2.2334629371921038
105,-7.072406,-6.649681,9.707583841028466,8.55248369605814,2.3451360840517097
110,-6.895107,-6.962399,9.798851992792319,8.860561871299755,2.4568092309113143
115,-6.708345,-7.274554,9.895505471573497,9.154184678047228,2.56848237777092
120,-6.511926,-7.586103,9.997706684839528,9.432544843564383,2.680155524630525
125,-6.305643,-7.896996,10.105626129412515,9.694811177565036,2.7918286714901304
130,-6.089278,-8.207178,10.219446036110178,9.940129903398597,2.903501818349736
135,-5.862599,-8.516588,10.339358693678491,10.167620635649449,3.0151749652093405
140,-5.625361,-8.825157,10.465566513809465,10.376374830316431,3.1268481120689455
145,-5.377305,-9.132812,10.598285903407636,10.565457058979696,3.238521258928551
150,-5.11816,-9.439467,10.737741803083598,10.733898220184885,3.3501944057881565
155,-4.847639,-9.745031,10.88417351319254,10.880698247939975,3.4618675526477616
160,-4.565443,-10.0494,11.03783086236825,11.00482049253108,3.573540699507367
165,-4.271257,-10.35247,11.19898528711191,11.105200797010248,3.6852138463669717
170,-3.964755,-10.6541,11.367899059194052,11.180712762013215,3.796886993226577
175,-3.645595,-10.95418,11.544887282967512,11.230230577924786,3.9085601400861822
180,-3.313424,-11.25253,11.730226340726594,11.25253,4.020233286945787
